match_status,distance_m,ienc_name,ienc_waterway,ienc_lat,ienc_lon,ienc_length_m,ienc_width_m,ienc_rise_m,app_id,app_name,app_lat,app_lon
no_match,29594.5,Grote kolk Lorentzsluizen,Netherlands waterway,53.069865,5.336702,,13.0,,w_osm_844169784,Sluis Goingarijp,53.0109771,5.7683904
no_match,29600.7,"Griesheim, rechte untere Kammer",Main,50.088409,8.598003,215.67,12.02,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,29677.0,"Griesheim, linke obere Kammer",Main,50.088196,8.600514,114.78,15.04,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,29698.0,"Griesheim, rechte obere Kammer",Main,50.088428,8.600495,113.75,12.02,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,29830.3,Tsjerk Hiddessluis,Unknown waterway,53.179233,5.420428,135.0,12.0,,w_osm_844169784,Sluis Goingarijp,53.0109771,5.7683904
no_match,29831.7,Sportbootschleuse Griesheim,Main,50.090339,8.599303,20.2,3.5,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,30119.7,Oostkolk Prins Bernhardsluizen,Amsterdam-Rijnkanaal,51.901698,5.454522,,24.0,,w_osm_734083208,Waardse Sluis,51.8514327,5.8856638
no_match,30154.0,Westkolk Prins Bernhardsluizen,Amsterdam-Rijnkanaal,51.901345,5.453908,,18.0,,w_osm_734083208,Waardse Sluis,51.8514327,5.8856638
no_match,30157.6,Sluis Zemst,Zeekanaal Brussel-Schelde,50.998866,4.372808,140.0,19.0,,w_osm_256413836,Kallosluis,51.2638371,4.2806146
no_match,30447.0,Sluiskolk sluis Schijndel,Netherlands waterway,51.648587,5.444149,,12.6,,w_osm_1446067370,Keersluis Cuijk,51.7571364,5.8497737
no_match,30467.2,Sluis Pollare,Dender,50.829731,4.010004,38.5,5.1,,w_osm_146572270,Ecluse nr 25,50.5987132,4.2426826
no_match,30657.1,Sluis Denderbelle,Dender,51.000878,4.077931,55.0,7.5,,w_osm_549314062,Keersluis K1 te Vinderhoute,51.0862472,3.6609676
no_match,30756.3,Sluiskolk Oude Zeesluis,Netherlands waterway,52.886135,5.358749,,7.0,,w_osm_844169784,Sluis Goingarijp,53.0109771,5.7683904
no_match,30878.5,Noordkolk Johan Frisosluis,Netherlands waterway,52.878917,5.362991,,9.0,,w_osm_844169784,Sluis Goingarijp,53.0109771,5.7683904
no_match,30903.6,Zuidkolk Johan Frisosluis,Netherlands waterway,52.878549,5.362896,,7.0,,w_osm_844169784,Sluis Goingarijp,53.0109771,5.7683904
no_match,30936.7,sluis 1 Rijkevorsel,Kanaal Dessel-Turnhout-Schoten,51.358407,5.001865,,,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,30938.2,Sluiskolk sluis Hintham,Netherlands waterway,51.698917,5.358608,,12.6,,w_osm_4693899017,Suatiesluis,51.7156423,4.9104224
no_match,31324.8,Sluis Idegem Grimminge,Dender,50.799044,3.929984,38.5,5.1,,w_osm_146572270,Ecluse nr 25,50.5987132,4.2426826
no_match,31411.6,Kriegenbrunn,Main-Donau-Kanal,49.555488,10.969823,190.0,12.0,,w_osm_431045692,Schleuse Strullendorf,49.8378599,10.9571439
no_match,31439.3,Sluiskolk sluis IV,Netherlands waterway,51.498359,5.207085,,16.2,,w_osm_7598614427,Keersluis Schipdiep,51.7126482,4.9100958
